드롭다운이름,lat,lon,사고건수,가로등수
노원구 하계역교차로(북북서방향 70M),37.636561259144955,127.06794377152943,19,0
도봉구 정의여중입구,37.65141410345684,127.03739521484043,12,0
도봉구 도봉경찰서앞교차로,37.652939723937735,127.05315895100975,39,17
도봉구 도봉보건소교차로,37.656855345950056,127.03951716038111,22,0
도봉구 창동시장입구교차로(북북동방향 234M),37.648477789350835,127.03447023187832,16,0
도봉구 도봉역앞교차로,37.68081027425946,127.04544744008241,16,0
도봉구 방학사거리,37.662719743786155,127.0423763364298,16,14
도봉구 정의여중고교입구교차로,37.65112618791882,127.03611457264616,20,0
도봉구 우이교앞교차로,37.64317191586591,127.0311592357855,16,0
도봉구 창동시장입구교차로,37.64655899791699,127.03341554860096,19,0
도봉구 창4동주민센터앞교차로,37.65232779479689,127.05149270769411,15,9
도봉구 도봉소방서,37.6645487063594,127.04245671333028,13,9
도봉구 방학동726-145,37.662729285489085,127.04086897271314,16,0
도봉구 창신약국,37.68405362356343,127.04589155588431,15,0
도봉구 창원초교앞교차로,37.651610872055514,127.04171277224609,13,0
도봉구 서울문화고교앞교차로,37.66283531709814,127.04650183929067,19,18
도봉구 녹천교앞교차로,37.64588443373023,127.0544569923196,12,23
도봉구 이마트사거리,37.651338722328255,127.04666464772582,10,18
도봉구 도봉보건소교차로(서북서방향 113M),37.65709900368387,127.03832735110879,15,0
도봉구 방학교,37.66147649943544,127.042069627586,11,6
도봉구 신동아아파트앞교차로,37.661796127297244,127.02755164453048,9,0
도봉구 신도봉사거리,37.671071246435744,127.04397930175891,8,0
도봉구 소피아관광호텔(남남서방향 180M),37.64914426891939,127.03530907372588,11,0
도봉구 방학프라자(북동방향 127M),37.66585700716497,127.03686975798544,10,0
도봉구 창동구민회관앞(남남서방향 71M),37.6543601280795,127.03798597338724,7,0
도봉구 번창교,37.64255898836492,127.03212207548576,12,0
도봉구 녹산교회,37.66600764097142,127.04423699819196,9,0
도봉구 럭키아파트(남남서방향 63M),37.677449889137364,127.04475390389314,10,0
도봉구 노원교앞,37.679412167053535,127.04940289996819,12,9
도봉구 김성아치과의원,37.683332788369306,127.04602715262716,8,0
도봉구 정의여중고교입구교차로,37.65136934170737,127.03647731043223,19,0
동대문구 신설동역1번출구,37.575986903372254,127.02355784309091,28,0
동대문구 신설동역교차로,37.57557249088535,127.0233313049265,41,0
동대문구 위생병원앞교차로(남서방향 137M),37.589514626772576,127.06252279886336,26,0
동대문구 위생병원앞교차로(서남서방향 108M),37.59006430369542,127.06238738779018,42,0
동대문구 성바오로병원앞교차로,37.57920715510411,127.04252141655924,43,0
동대문구 청량초교,37.59287767687192,127.05791715125254,24,0
동대문구 동대문구청,37.57434332716966,127.03800189343244,36,11
동대문구 떡전교사거리,37.58573572091695,127.05163927454146,35,0
동대문구 제기동역앞교차로,37.57816457075097,127.03466420743185,34,20
동대문구 배봉초교앞교차로,37.57850122473601,127.06841173712084,29,0
동대문구 성동구-동대문구,37.56299166441057,127.05799587373704,27,0
동대문구 서울시설공단,37.57279360904025,127.03802374588746,25,20
동대문구 청량리역,37.58062046485717,127.04586195789288,27,0
동대문구 답십리역교차로,37.56542587280721,127.05481716569133,29,0
동대문구 장한평역3번출구,37.56189782849802,127.0649671047038,32,0
동대문구 청계9가사거리,37.5701739330153,127.03035906974743,26,0
